SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TIMESCAN,ST,2022-01-12,51.0,82.0,86.1,82.0,86.1,86.1,83.05,"4,32,000","3,58,76,200.00",193,"4,32,000",100.00
TIMESCAN,ST,2022-01-13,86.1,90.4,90.4,90.4,90.4,90.4,90.4,"26,000","23,50,400.00",13,"26,000",100.00
TIMESCAN,ST,2022-01-14,90.4,94.9,94.9,94.9,94.9,94.9,94.9,"8,000","7,59,200.00",4,"8,000",100.00
TIMESCAN,ST,2022-01-17,94.9,99.6,99.6,99.6,99.6,99.6,99.6,"14,000","13,94,400.00",6,"14,000",100.00
TIMESCAN,ST,2022-01-18,99.6,104.55,104.55,104.55,104.55,104.55,104.55,"2,40,000","2,50,92,000.00",94,"2,32,000",96.67
TIMESCAN,ST,2022-01-19,104.55,107.5,109.75,99.35,109.75,109.75,107.45,"4,54,000","4,87,84,400.00",197,"4,38,000",96.48
TIMESCAN,ST,2022-01-20,109.75,115.2,115.2,115.2,115.2,115.2,115.2,"14,000","16,12,800.00",6,"14,000",100.00
TIMESCAN,ST,2022-01-21,115.2,120.95,120.95,120.95,120.95,120.95,120.95,"4,000","4,83,800.00",2,"4,000",100.00
TIMESCAN,ST,2022-01-24,120.95,126.95,126.95,114.95,119.8,119.8,121.09,"2,32,000","2,80,92,300.00",105,"1,94,000",83.62
TIMESCAN,ST,2022-01-25,119.8,119.85,119.95,113.9,118.35,118.35,117.01,"38,000","44,46,400.00",19,"36,000",94.74
TIMESCAN,SM,2022-01-27,118.35,120.6,137.0,119.0,135.9,134.3,127.89,"1,56,000","1,99,51,200.00",73,"82,000",52.56
TIMESCAN,SM,2022-01-28,134.3,144.8,161.15,144.0,157.7,157.35,155.36,"1,76,000","2,73,43,500.00",87,"1,14,000",64.77
TIMESCAN,SM,2022-01-31,157.35,158.25,158.95,127.0,132.0,133.35,142.43,"1,28,000","1,82,31,500.00",63,"64,000",50.00
TIMESCAN,SM,2022-02-01,133.35,131.9,134.0,115.5,118.0,118.65,123.4,"1,16,000","1,43,14,600.00",58,"64,000",55.17
TIMESCAN,SM,2022-02-02,118.65,122.5,134.7,118.0,129.0,127.45,125.64,"86,000","1,08,04,800.00",43,"44,000",51.16
TIMESCAN,SM,2022-02-03,127.45,130.5,130.5,117.85,122.0,121.25,122.23,"44,000","53,78,100.00",22,"18,000",40.91
TIMESCAN,SM,2022-02-04,121.25,115.55,120.95,113.05,113.05,114.2,116.43,"36,000","41,91,400.00",18,"26,000",72.22
TIMESCAN,SM,2022-02-07,114.2,118.8,118.8,113.0,115.0,115.95,115.56,"30,000","34,66,900.00",15,"22,000",73.33
TIMESCAN,SM,2022-02-08,115.95,109.2,111.0,102.75,102.75,103.65,106.01,"42,000","44,52,300.00",21,"36,000",85.71
TIMESCAN,SM,2022-02-09,103.65,95.0,100.0,90.3,93.25,93.25,94.22,"48,000","45,22,600.00",24,"28,000",58.33
TIMESCAN,SM,2022-02-10,93.25,85.0,92.4,83.55,91.0,91.0,89.09,"62,000","55,23,600.00",31,"34,000",54.84
TIMESCAN,SM,2022-02-11,91.0,91.0,91.05,89.7,89.75,89.7,90.34,"22,000","19,87,400.00",11,"14,000",63.64
TIMESCAN,SM,2022-02-14,89.7,89.7,89.7,85.0,85.0,85.25,86.48,"14,000","12,10,700.00",7,"14,000",100.00
TIMESCAN,SM,2022-02-15,85.25,85.5,85.5,77.5,79.35,79.65,80.81,"52,000","42,02,200.00",26,"28,000",53.85
TIMESCAN,SM,2022-02-16,79.65,77.7,94.9,74.25,93.65,93.65,81.87,"66,000","54,03,700.00",32,"44,000",66.67
TIMESCAN,SM,2022-02-17,93.65,99.95,112.35,99.95,112.35,112.35,109.35,"74,000","80,91,600.00",37,"46,000",62.16
TIMESCAN,SM,2022-02-18,112.35,129.9,130.0,94.25,114.0,114.0,114.85,"60,000","68,90,800.00",29,"38,000",63.33
TIMESCAN,SM,2022-02-21,114.0,121.9,121.9,102.5,105.35,104.05,105.66,"28,000","29,58,600.00",14,"18,000",64.29
TIMESCAN,SM,2022-02-22,104.05,92.0,100.0,90.55,96.0,96.0,95.73,"28,000","26,80,300.00",14,"16,000",57.14
TIMESCAN,SM,2022-02-23,96.0,105.95,105.95,96.05,96.5,96.55,99.28,"12,000","11,91,300.00",6,"8,000",66.67
TIMESCAN,SM,2022-02-24,96.55,85.2,93.45,81.0,82.1,81.7,85.74,"46,000","39,43,900.00",22,"24,000",52.17
TIMESCAN,SM,2022-02-25,81.7,94.9,98.0,94.0,98.0,98.0,96.38,"38,000","36,62,400.00",19,"26,000",68.42
TIMESCAN,SM,2022-02-28,98.0,98.0,105.5,96.0,102.0,102.0,101.45,"26,000","26,37,700.00",13,"12,000",46.15
TIMESCAN,SM,2022-03-02,102.0,99.15,106.0,99.15,106.0,105.0,102.06,"14,000","14,28,800.00",7,"12,000",85.71
TIMESCAN,SM,2022-03-03,105.0,105.05,105.05,95.1,105.0,105.0,102.37,"12,000","12,28,400.00",6,"4,000",33.33
TIMESCAN,SM,2022-03-04,105.0,94.1,99.9,93.2,99.0,99.0,97.49,"24,000","23,39,700.00",12,"14,000",58.33
TIMESCAN,SM,2022-03-07,99.0,91.0,94.75,82.25,90.05,90.05,90.19,"18,000","16,23,500.00",9,"12,000",66.67
TIMESCAN,SM,2022-03-08,90.05,91.05,93.85,91.05,93.85,93.85,92.45,"4,000","3,69,800.00",2,-,-
TIMESCAN,SM,2022-03-09,93.85,92.0,102.0,92.0,96.35,94.05,96.64,"34,000","32,85,900.00",17,"12,000",35.29
TIMESCAN,SM,2022-03-10,94.05,105.0,105.9,99.9,105.9,104.85,103.82,"50,000","51,91,000.00",25,"26,000",52.00
TIMESCAN,SM,2022-03-11,104.85,98.35,105.8,98.35,104.0,104.0,102.61,"14,000","14,36,500.00",7,"10,000",71.43
TIMESCAN,SM,2022-03-14,104.0,101.5,101.5,97.3,97.3,97.3,99.29,"8,000","7,94,300.00",4,"8,000",100.00
TIMESCAN,SM,2022-03-15,97.3,94.5,98.9,94.5,98.9,96.95,95.38,"14,000","13,35,300.00",7,"8,000",57.14
TIMESCAN,SM,2022-03-16,96.95,96.95,100.85,96.95,100.85,100.85,98.44,"8,000","7,87,500.00",4,"6,000",75.00
TIMESCAN,SM,2022-03-17,100.85,102.0,102.0,93.05,93.05,95.5,98.06,"26,000","25,49,600.00",13,"12,000",46.15
TIMESCAN,SM,2022-03-21,95.5,94.2,99.0,90.1,98.45,98.45,93.92,"18,000","16,90,600.00",9,"8,000",44.44
TIMESCAN,SM,2022-03-22,98.45,91.1,94.25,91.1,93.0,93.25,92.96,"8,000","7,43,700.00",4,"8,000",100.00
TIMESCAN,SM,2022-03-23,93.25,95.0,95.0,91.0,91.0,91.1,92.54,"14,000","12,95,500.00",7,"12,000",85.71
TIMESCAN,SM,2022-03-24,91.1,91.1,91.25,88.7,91.2,91.2,90.25,"10,000","9,02,500.00",5,"6,000",60.00
TIMESCAN,SM,2022-03-25,91.2,88.25,89.65,86.0,89.5,87.85,87.69,"34,000","29,81,400.00",15,"24,000",70.59
