SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TROM,ST,2024-08-01,115.0,218.5,229.4,218.5,229.4,229.4,226.77,"4,58,400","10,39,53,600.00",221,"4,58,400",100.0
TROM,ST,2024-08-02,229.4,240.85,240.85,240.85,240.85,240.85,240.85,"1,22,400","2,94,80,040.00",84,"1,22,400",100.0
TROM,ST,2024-08-05,240.85,252.85,252.85,252.85,252.85,252.85,252.85,"8,83,200","22,33,17,120.00",367,"6,56,400",74.32
TROM,ST,2024-08-06,252.85,255.0,255.0,240.2,240.2,240.2,244.31,"7,33,200","17,91,24,780.00",411,"6,94,800",94.76
TROM,ST,2024-08-07,240.2,228.2,248.5,228.2,244.95,245.2,235.79,"6,94,800","16,38,28,440.00",423,"6,57,600",94.65
TROM,ST,2024-08-08,245.2,233.0,241.95,232.95,232.95,233.15,234.67,"2,05,200","4,81,53,480.00",118,"2,00,400",97.66
TROM,ST,2024-08-09,233.15,235.0,239.0,225.0,233.0,231.55,230.97,"1,54,800","3,57,54,900.00",127,"1,47,600",95.35
TROM,ST,2024-08-12,231.55,230.9,243.1,223.0,243.1,243.1,239.72,"4,17,600","10,01,08,920.00",222,"4,06,800",97.41
TROM,ST,2024-08-13,243.1,250.0,255.25,246.0,255.25,255.25,253.77,"2,23,200","5,66,41,200.00",142,"1,58,400",70.97
TROM,ST,2024-08-14,255.25,268.0,268.0,268.0,268.0,268.0,268.0,"18,000","48,24,000.00",14,"18,000",100.0
TROM,SM,2024-08-16,268.0,282.0,319.9,277.0,296.0,294.4,296.31,"8,61,600","25,52,99,040.00",685,"4,62,000",53.62
TROM,SM,2024-08-19,294.4,303.0,319.0,290.0,290.0,292.1,301.13,"1,78,800","5,38,41,960.00",141,"1,20,000",67.11
TROM,SM,2024-08-20,292.1,291.6,291.6,267.35,273.0,275.8,276.55,"2,46,000","6,80,30,100.00",184,"1,36,800",55.61
TROM,SM,2024-08-21,275.8,279.0,330.95,277.0,313.0,313.1,314.83,"6,88,800","21,68,51,520.00",465,"2,59,200",37.63
TROM,SM,2024-08-22,313.1,324.0,330.0,307.05,317.0,315.75,319.75,"1,80,000","5,75,55,660.00",144,"1,00,800",56.0
TROM,SM,2024-08-23,315.75,320.85,320.85,295.0,300.0,299.6,306.19,"94,800","2,90,27,280.00",73,"67,200",70.89
TROM,SM,2024-08-26,299.6,301.0,303.95,275.0,281.95,280.35,282.27,"2,30,400","6,50,35,980.00",174,"1,42,800",61.98
TROM,SM,2024-08-27,280.35,286.0,314.0,281.0,296.0,295.4,299.32,"1,70,400","5,10,04,620.00",140,"94,800",55.63
TROM,SM,2024-08-28,295.4,295.0,305.0,288.1,292.0,289.7,297.57,"76,800","2,28,53,340.00",63,"50,400",65.63
TROM,SM,2024-08-29,289.7,299.0,299.0,268.0,272.0,270.2,276.09,"1,23,600","3,41,25,300.00",101,"98,400",79.61
TROM,SM,2024-08-30,270.2,265.0,298.0,264.55,276.0,275.75,280.67,"1,86,000","5,22,04,560.00",98,"82,800",44.52
TROM,SM,2024-09-02,275.75,287.95,294.0,265.0,265.0,269.4,277.29,"1,32,000","3,66,01,920.00",107,"87,600",66.36
TROM,SM,2024-09-03,269.4,270.95,270.95,252.05,256.4,254.8,259.43,"1,38,000","3,58,00,860.00",112,"90,000",65.22
TROM,SM,2024-09-04,254.8,254.8,255.0,243.0,244.5,244.55,247.28,"1,50,000","3,70,91,280.00",112,"1,02,000",68.0
TROM,SM,2024-09-05,244.55,242.0,259.9,239.95,253.0,254.8,246.99,"2,98,800","7,38,00,840.00",238,"1,57,200",52.61
TROM,SM,2024-09-06,254.8,253.0,256.7,242.5,247.1,247.65,248.2,"94,800","2,35,29,240.00",79,"45,600",48.1
TROM,SM,2024-09-09,247.65,246.0,258.9,245.0,247.25,248.0,252.34,"68,400","1,72,60,260.00",54,"42,000",61.4
TROM,SM,2024-09-10,248.0,249.0,249.0,234.5,237.0,238.5,242.18,"74,400","1,80,18,300.00",57,"46,800",62.9
TROM,SM,2024-09-11,238.5,239.0,244.95,236.1,236.1,236.8,239.55,"57,600","1,37,98,260.00",45,"32,400",56.25
TROM,SM,2024-09-12,236.8,236.05,243.0,234.0,238.65,241.5,239.26,"52,800","1,26,32,700.00",43,"31,200",59.09
TROM,SM,2024-09-13,241.5,236.0,249.65,236.0,247.3,247.6,245.16,"48,000","1,17,67,860.00",40,"28,800",60.0
TROM,SM,2024-09-16,247.6,238.1,243.95,238.1,241.5,241.0,240.65,"43,200","1,03,96,140.00",35,"26,400",61.11
TROM,SM,2024-09-17,241.0,241.0,241.0,232.05,240.0,237.75,236.57,"30,000","70,97,040.00",21,"21,600",72.0
TROM,SM,2024-09-18,237.75,245.0,246.7,238.0,245.55,245.25,243.25,"38,400","93,40,740.00",31,"30,000",78.13
TROM,SM,2024-09-19,245.25,250.0,254.6,232.05,233.5,233.05,244.47,"80,400","1,96,55,220.00",63,"49,200",61.19
TROM,SM,2024-09-20,233.05,236.95,242.0,235.6,239.6,237.6,238.81,"18,000","42,98,640.00",15,"15,600",86.67
TROM,SM,2024-09-23,237.6,239.6,239.95,231.3,238.75,238.15,236.58,"30,000","70,97,340.00",25,"19,200",64.0
TROM,SM,2024-09-24,238.15,238.15,244.0,235.3,236.0,236.6,238.15,"34,800","82,87,680.00",29,"16,800",48.28
TROM,SM,2024-09-25,236.6,240.0,245.95,238.8,239.2,239.2,241.42,"26,400","63,73,500.00",22,"16,800",63.64
TROM,SM,2024-09-26,239.2,238.0,238.0,232.0,233.4,233.75,234.79,"68,400","1,60,59,420.00",54,"43,200",63.16
TROM,SM,2024-09-27,233.75,232.75,238.95,232.25,237.0,237.6,235.78,"37,200","87,71,100.00",31,"25,200",67.74
TROM,SM,2024-09-30,237.6,229.9,234.0,228.0,231.05,232.0,230.78,"27,600","63,69,600.00",22,"21,600",78.26
TROM,SM,2024-10-01,232.0,234.0,236.0,227.05,228.5,229.5,231.9,"20,400","47,30,820.00",17,"13,200",64.71
TROM,SM,2024-10-03,229.5,228.0,228.0,214.55,214.55,217.25,220.94,"64,800","1,43,16,900.00",52,"44,400",68.52
TROM,SM,2024-10-04,217.25,218.0,220.0,210.5,212.25,212.45,215.19,"36,000","77,46,780.00",29,"28,800",80.0
TROM,SM,2024-10-07,212.45,220.0,220.0,197.0,202.0,202.0,203.41,"18,000","36,61,320.00",15,"13,200",73.33
