SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
UMA,ST,2022-12-29,33.0,34.25,34.5,33.0,33.1,33.15,33.67,"20,44,000","6,88,31,600.00",460,"19,72,000",96.48
UMA,ST,2022-12-30,33.15,33.25,34.2,33.25,34.0,34.05,33.79,"6,52,000","2,20,28,000.00",137,"6,32,000",96.93
UMA,ST,2023-01-02,34.05,34.05,35.45,33.0,33.25,33.35,34.25,"6,28,000","2,15,06,400.00",138,"5,76,000",91.72
UMA,ST,2023-01-03,33.35,33.25,35.0,33.0,35.0,35.0,34.69,"6,20,000","2,15,05,200.00",135,"5,84,000",94.19
UMA,ST,2023-01-04,35.0,36.75,36.75,34.25,35.0,35.2,35.51,"3,24,000","1,15,06,200.00",79,"2,60,000",80.25
UMA,ST,2023-01-05,35.2,34.0,35.2,33.45,33.95,33.8,33.93,"3,92,000","1,33,01,000.00",88,"3,40,000",86.73
UMA,ST,2023-01-06,33.8,34.25,35.2,34.0,34.7,34.9,34.57,"1,68,000","58,07,200.00",39,"1,68,000",100.0
UMA,ST,2023-01-09,34.9,36.0,36.0,34.3,34.8,34.7,34.72,"1,00,000","34,72,200.00",24,"96,000",96.0
UMA,ST,2023-01-10,34.7,34.05,34.45,33.1,33.9,33.45,33.76,"1,64,000","55,36,000.00",41,"1,64,000",100.0
UMA,ST,2023-01-11,33.45,35.1,35.1,33.6,35.1,35.1,35.01,"3,16,000","1,10,63,600.00",70,"2,88,000",91.14
UMA,SM,2023-01-12,35.1,36.8,42.1,36.5,42.1,42.1,40.13,"14,52,000","5,82,73,200.00",341,"8,20,000",56.47
UMA,SM,2023-01-13,42.1,43.85,50.4,43.5,46.45,46.15,47.25,"10,96,000","5,17,90,800.00",264,"6,84,000",62.41
UMA,SM,2023-01-16,46.15,46.8,47.0,43.0,43.5,43.65,44.55,"2,28,000","1,01,58,200.00",57,"1,64,000",71.93
UMA,SM,2023-01-17,43.65,43.0,46.0,43.0,44.0,44.3,44.69,"1,80,000","80,43,400.00",45,"1,20,000",66.67
UMA,SM,2023-01-18,44.3,45.35,45.35,44.0,44.45,44.45,44.71,"80,000","35,76,600.00",20,"52,000",65.0
UMA,SM,2023-01-19,44.45,44.15,45.0,43.5,43.65,43.75,43.85,"80,000","35,07,800.00",20,"76,000",95.0
UMA,SM,2023-01-20,43.75,44.0,44.85,41.7,42.1,42.2,43.18,"1,44,000","62,17,600.00",35,"1,08,000",75.0
UMA,SM,2023-01-23,42.2,42.0,42.6,41.5,41.5,41.5,42.04,"76,000","31,95,400.00",19,"72,000",94.74
UMA,SM,2023-01-24,41.5,41.4,41.85,40.5,40.7,40.8,41.04,"92,000","37,76,000.00",23,"76,000",82.61
UMA,SM,2023-01-25,40.8,40.05,40.3,37.55,38.0,38.05,38.78,"1,88,000","72,91,000.00",47,"1,36,000",72.34
UMA,SM,2023-01-27,38.05,37.5,42.0,37.1,39.95,39.6,39.89,"1,76,000","70,21,400.00",42,"1,00,000",56.82
UMA,SM,2023-01-30,39.6,39.05,40.0,39.05,40.0,40.0,39.59,"28,000","11,08,400.00",7,"24,000",85.71
UMA,SM,2023-01-31,40.0,39.5,39.5,34.0,36.75,36.85,36.26,"2,92,000","1,05,89,000.00",73,"1,96,000",67.12
UMA,SM,2023-02-01,36.85,36.8,39.0,36.8,37.5,37.85,38.14,"64,000","24,41,200.00",16,"60,000",93.75
UMA,SM,2023-02-02,37.85,37.5,37.5,36.05,36.05,36.35,36.63,"48,000","17,58,000.00",12,"44,000",91.67
UMA,SM,2023-02-03,36.35,37.0,37.0,34.5,36.1,36.05,35.63,"1,40,000","49,87,800.00",34,"1,08,000",77.14
UMA,SM,2023-02-06,36.05,36.5,37.05,35.0,36.0,35.8,36.11,"1,44,000","51,99,200.00",34,"1,00,000",69.44
UMA,SM,2023-02-07,35.8,37.0,37.5,35.85,36.3,36.3,36.84,"60,000","22,10,400.00",15,"48,000",80.0
