SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VOLERCAR,ST,19-02-2025,90.0,90.0,93.9,85.5,89.35,91.45,89.99,"14,41,600","12,97,33,680.00",521,"14,33,600",99.45
VOLERCAR,ST,20-02-2025,91.45,86.9,90.0,86.9,89.5,89.5,88.54,"83,200","73,66,320.00",43,"83,200",100.0
VOLERCAR,ST,21-02-2025,89.5,85.2,90.0,85.05,90.0,89.45,86.97,"46,400","40,35,280.00",27,"43,200",93.1
VOLERCAR,ST,24-02-2025,89.45,85.1,85.1,85.0,85.0,85.0,85.04,"11,200","9,52,400.00",6,"11,200",100.0
VOLERCAR,ST,25-02-2025,85.0,85.0,89.25,85.0,89.25,89.25,88.35,"1,21,600","1,07,43,760.00",68,"1,21,600",100.0
VOLERCAR,ST,27-02-2025,89.25,93.0,93.0,85.25,90.15,90.15,88.66,"56,000","49,64,880.00",26,"56,000",100.0
VOLERCAR,ST,28-02-2025,90.15,86.0,86.0,85.65,85.65,85.65,85.78,"11,200","9,60,720.00",7,"9,600",85.71
VOLERCAR,ST,03-03-2025,85.65,88.95,88.95,81.4,81.4,81.4,83.33,"68,800","57,33,040.00",15,"57,600",83.72
VOLERCAR,ST,04-03-2025,81.4,77.4,85.45,77.4,85.45,85.45,83.94,"28,800","24,17,520.00",15,"28,800",100.0
VOLERCAR,ST,05-03-2025,85.45,89.0,89.7,85.15,89.0,89.0,89.16,"43,200","38,51,600.00",23,"43,200",100.0
VOLERCAR,SM,06-03-2025,89.0,88.5,89.9,83.3,89.9,89.85,88.96,"36,800","32,73,840.00",19,"30,400",82.61
VOLERCAR,SM,07-03-2025,89.85,89.85,90.0,86.05,89.9,89.4,88.73,"41,600","36,91,040.00",20,"25,600",61.54
