SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMANTA,BE,09-09-2025,126.0,135.0,141.75,132.0,141.75,141.75,136.43,"42,73,222","58,29,98,300.54","30,053",-,-
AMANTA,BE,09-09-2025,126.0,135.0,141.75,132.0,141.75,141.75,136.43,4273222,5829.98,30053, -, -
AMANTA,BE,10-09-2025,141.75,143.7,148.83,140.35,148.83,148.72,146.64,1593649,2336.98,9962, -, -
AMANTA,BE,11-09-2025,148.72,145.98,149.0,141.28,142.25,142.68,142.57,1142199,1628.48,13545, -, -
AMANTA,BE,12-09-2025,142.68,141.7,141.7,136.0,140.0,139.87,138.23,391063,540.56,10353, -, -
AMANTA,BE,15-09-2025,139.87,138.1,139.18,134.5,137.3,137.0,136.26,246457,335.83,4871, -, -
AMANTA,BE,16-09-2025,137.0,136.0,143.0,135.21,141.8,141.88,140.54,448323,630.08,3021, -, -
AMANTA,BE,17-09-2025,141.88,141.88,142.0,137.55,141.0,140.61,139.98,205197,287.24,2031, -, -
AMANTA,BE,18-09-2025,140.61,140.61,141.65,139.0,140.0,139.12,140.18,204832,287.12,1645, -, -
AMANTA,BE,19-09-2025,139.12,138.65,144.9,137.0,141.0,141.15,140.59,245864,345.67,1997, -, -
AMANTA,BE,22-09-2025,141.15,140.6,145.9,140.6,144.0,143.77,143.64,262790,377.47,2204, -, -
AMANTA,EQ,23-09-2025,143.77,148.15,154.4,145.2,146.8,146.82,150.21,1591935,2391.3,11015, 634377, 39.85
AMANTA,EQ,24-09-2025,146.82,147.25,151.3,142.2,142.5,143.86,145.7,286218,417.02,2952, 144771, 50.58
AMANTA,EQ,25-09-2025,143.86,143.99,144.89,137.34,138.75,139.21,139.89,251539,351.87,3252, 129242, 51.38
AMANTA,EQ,26-09-2025,139.21,138.74,140.0,135.2,138.03,138.17,137.51,242325,333.22,2833, 110184, 45.47
AMANTA,EQ,29-09-2025,138.17,138.2,141.2,133.71,139.0,140.04,138.58,602323,834.72,3572, 257761, 42.79
AMANTA,EQ,30-09-2025,140.04,144.99,144.99,135.5,137.0,136.36,138.34,171178,236.81,2624, 73064, 42.68
AMANTA,EQ,01-10-2025,136.36,132.6,138.5,132.1,138.0,136.34,134.24,199522,267.83,2654, 77139, 38.66
AMANTA,EQ,03-10-2025,136.34,136.25,138.86,136.21,137.3,137.45,137.56,140679,193.52,1731, 55186, 39.23
AMANTA,EQ,06-10-2025,137.45,136.05,140.0,134.69,137.01,137.76,137.5,143027,196.66,1843, 75143, 52.54
AMANTA,EQ,07-10-2025,137.76,137.75,138.89,135.7,136.0,137.57,137.07,140984,193.25,1552, 59100, 41.92
AMANTA,EQ,08-10-2025,137.57,136.05,137.61,134.19,134.3,134.98,135.35,61702,83.51,1237, 39900, 64.67
