SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SAWALIYA,ST,14-08-2025,120.0,228.0,239.4,216.6,239.4,239.4,227.86,"18,10,800","41,26,05,300.00",636,"18,04,800",99.67
SAWALIYA,ST,18-08-2025,239.4,227.5,251.35,227.45,251.35,251.35,234.15,88800,207.92,48, 85200,95.95
SAWALIYA,ST,19-08-2025,251.35,259.0,259.0,238.8,245.0,245.65,245.57,69600,170.92,29, 66000,94.83
SAWALIYA,ST,20-08-2025,245.65,246.0,246.0,233.6,239.0,236.6,236.91,34800,82.44,21, 32400,93.1
SAWALIYA,ST,21-08-2025,236.6,230.0,230.0,226.0,229.0,227.6,228.57,25200,57.6,11, 25200,100.0
SAWALIYA,ST,22-08-2025,227.6,227.05,230.0,220.05,229.9,229.25,228.41,26400,60.3,22, 24000,90.91
SAWALIYA,ST,25-08-2025,229.25,226.0,234.8,220.9,233.0,232.85,232.2,56400,130.96,35, 55200,97.87
SAWALIYA,ST,26-08-2025,232.85,231.0,240.0,231.0,238.0,238.05,238.08,43200,102.85,10, 43200,100.0
SAWALIYA,ST,28-08-2025,238.05,239.0,249.95,238.0,249.95,242.1,239.47,139200,333.34,60, 138000,99.14
SAWALIYA,ST,29-08-2025,242.1,247.7,254.2,246.6,254.2,254.2,250.17,39600,99.07,24, 38400,96.97
SAWALIYA,SM,01-09-2025,254.2,267.1,301.0,239.9,248.0,242.75,253.97,356400,905.16,222, 242400,68.01
SAWALIYA,SM,02-09-2025,242.75,240.0,258.8,240.0,241.0,241.15,246.75,192000,473.75,99, 156000,81.25
SAWALIYA,SM,03-09-2025,241.15,250.0,254.0,242.0,248.0,247.9,246.02,140400,345.41,50, 126000,89.74
SAWALIYA,SM,04-09-2025,247.9,256.0,267.0,248.3,250.0,250.55,253.66,108000,273.95,68, 76800,71.11
SAWALIYA,SM,05-09-2025,250.55,250.55,250.55,246.5,250.0,249.9,249.53,16800,41.92,8, 16800,100.0
SAWALIYA,SM,08-09-2025,249.9,253.5,253.5,244.1,245.4,245.25,245.73,10800,26.54,8, 7200,66.67
SAWALIYA,SM,09-09-2025,245.25,249.9,254.6,247.4,250.0,250.0,250.2,55200,138.11,40, 51600,93.48
SAWALIYA,SM,10-09-2025,250.0,250.0,255.0,248.4,250.0,249.9,250.52,60000,150.31,27, 58800,98.0
SAWALIYA,SM,11-09-2025,249.9,250.0,250.0,244.0,245.0,245.35,247.34,24000,59.36,17, 16800,70.0
SAWALIYA,SM,12-09-2025,245.35,247.0,247.0,245.3,245.3,245.3,246.43,3600,8.87,3, 3600,100.0
SAWALIYA,SM,15-09-2025,245.3,245.0,250.0,236.1,240.0,239.95,241.12,51600,124.42,34, 36000,69.77
SAWALIYA,SM,16-09-2025,239.95,242.1,242.1,239.0,240.0,240.0,240.16,28800,69.17,20, 27600,95.83
SAWALIYA,SM,17-09-2025,240.0,240.0,240.0,233.0,235.55,235.7,237.96,186000,442.61,60, 169200,90.97
SAWALIYA,SM,18-09-2025,235.7,239.9,239.9,234.15,235.0,236.55,236.76,162000,383.55,87, 81600,50.37
SAWALIYA,SM,19-09-2025,236.55,239.9,243.0,238.0,240.0,240.0,240.16,120000,288.19,27, 111600,93.0
SAWALIYA,SM,22-09-2025,240.0,240.1,240.1,235.0,239.5,236.05,236.51,100800,238.4,25, 93600,92.86
SAWALIYA,SM,23-09-2025,236.05,252.0,252.5,225.05,244.9,244.3,244.05,38400,93.72,27, 24000,62.5
SAWALIYA,SM,24-09-2025,244.3,244.3,244.3,238.0,239.3,239.3,240.62,28800,69.3,22, 20400,70.83
SAWALIYA,SM,25-09-2025,239.3,240.0,240.0,231.0,233.0,231.65,233.32,16800,39.2,13, 13200,78.57
SAWALIYA,SM,26-09-2025,231.65,228.0,228.0,228.0,228.0,228.0,228.0,1200,2.74,1, 1200,100.0
SAWALIYA,SM,29-09-2025,228.0,229.2,233.95,226.0,226.0,226.35,228.64,15600,35.67,13, 12000,76.92
SAWALIYA,SM,30-09-2025,226.35,230.0,232.9,225.0,232.9,229.65,229.51,135600,311.21,52, 80400,59.29
SAWALIYA,SM,01-10-2025,229.65,237.15,240.0,237.15,239.95,239.95,238.42,122400,291.82,65, 66000,53.92
SAWALIYA,SM,03-10-2025,239.95,239.0,239.3,226.0,229.9,229.9,231.45,80400,186.09,44, 56400,70.15
SAWALIYA,SM,06-10-2025,229.9,225.05,228.5,217.2,226.8,226.75,224.46,50400,113.13,37, 19200,38.1
SAWALIYA,SM,07-10-2025,226.75,219.0,224.0,208.0,223.0,220.1,217.71,74400,161.98,55, 20400,27.42
SAWALIYA,SM,08-10-2025,220.1,221.1,229.4,215.6,220.0,219.9,221.72,106800,236.8,57, 70800,66.29
SAWALIYA,SM,09-10-2025,219.9,224.0,224.5,219.0,219.0,219.0,221.56,39600,87.74,22, 21600,54.55
SAWALIYA,SM,10-10-2025,219.0,222.1,222.95,219.1,219.5,219.5,220.58,33600,74.11,17, 20400,60.71
SAWALIYA,SM,13-10-2025,219.5,220.0,220.0,215.1,215.1,215.1,218.53,4800,10.49,3, 4800,100.0
SAWALIYA,SM,14-10-2025,215.1,224.5,224.5,219.0,223.0,223.0,223.08,21600,48.19,18, 6000, 27.78
