SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ACCORD,SM,2017-07-06,60.0,72.0,72.0,72.0,72.0,72.0,72.0,"2,000","1,44,000.00",1,"2,000",100.0
ACCORD,SM,2017-07-07,72.0,86.4,86.4,82.0,86.4,86.4,85.74,"8,28,000","7,09,93,100.00",379,"5,10,000",61.59
ACCORD,SM,2017-07-10,86.4,86.4,93.1,77.0,77.7,78.55,82.4,"2,82,000","2,32,36,800.00",136,"1,38,000",48.94
ACCORD,SM,2017-07-11,78.55,77.8,78.5,66.1,68.15,68.05,72.59,"2,46,000","1,78,57,400.00",119,"1,78,000",72.36
ACCORD,SM,2017-07-12,68.05,68.65,73.3,64.4,72.5,72.8,69.96,"1,58,000","1,10,53,100.00",78,"82,000",51.9
ACCORD,SM,2017-07-13,72.8,71.5,77.0,70.0,71.05,71.3,74.24,"1,18,000","87,60,600.00",57,"80,000",67.8
ACCORD,SM,2017-07-14,71.3,75.8,75.8,71.2,71.25,71.3,72.99,"34,000","24,81,500.00",17,"28,000",82.35
ACCORD,SM,2017-07-17,71.3,72.6,72.6,70.0,70.0,70.0,71.28,"8,000","5,70,200.00",4,"8,000",100.0
ACCORD,SM,2017-07-18,70.0,68.8,69.0,67.25,68.0,67.55,68.01,"18,000","12,24,200.00",9,"16,000",88.89
ACCORD,SM,2017-07-19,67.55,70.5,70.7,70.0,70.0,70.0,70.43,"10,000","7,04,300.00",5,"10,000",100.0
ACCORD,SM,2017-07-20,70.0,70.5,70.5,67.75,68.1,68.1,69.0,"20,000","13,79,900.00",10,"18,000",90.0
ACCORD,SM,2017-07-21,68.1,70.65,70.65,66.1,66.1,66.1,67.91,"12,000","8,14,900.00",6,"12,000",100.0
ACCORD,SM,2017-07-24,66.1,65.05,66.95,65.0,66.95,66.95,65.3,"24,000","15,67,300.00",12,"18,000",75.0
ACCORD,SM,2017-07-25,66.95,66.0,67.95,66.0,67.95,67.95,66.65,"6,000","3,99,900.00",3,"6,000",100.0
ACCORD,SM,2017-07-26,67.95,65.75,65.75,65.1,65.1,65.1,65.57,"10,000","6,55,700.00",5,"10,000",100.0
ACCORD,SM,2017-07-27,65.1,64.5,65.5,63.1,63.5,63.75,64.14,"24,000","15,39,300.00",11,"24,000",100.0
ACCORD,SM,2017-07-28,63.75,62.0,63.55,61.75,63.0,63.25,62.79,"16,000","10,04,700.00",7,"14,000",87.5
ACCORD,SM,2017-07-31,63.25,62.05,62.05,59.9,59.9,59.95,61.07,"24,000","14,65,700.00",12,"24,000",100.0
ACCORD,SM,2017-08-01,59.95,59.55,60.0,58.1,58.1,58.7,59.33,"24,000","14,23,800.00",11,"20,000",83.33
ACCORD,SM,2017-08-02,58.7,60.0,63.5,59.0,61.0,61.0,61.42,"26,000","15,97,000.00",13,"20,000",76.92
ACCORD,SM,2017-08-03,61.0,60.0,60.0,58.0,58.0,58.0,59.29,"14,000","8,30,000.00",6,"12,000",85.71
ACCORD,SM,2017-08-04,58.0,56.0,61.0,54.05,60.0,60.0,58.32,"46,000","26,82,600.00",23,"32,000",69.57
ACCORD,SM,2017-08-08,60.0,59.5,60.0,59.5,60.0,60.0,59.79,"16,000","9,56,700.00",5,"16,000",100.0
ACCORD,SM,2017-08-10,60.0,59.75,59.75,59.75,59.75,59.75,59.75,"4,000","2,39,000.00",2,"4,000",100.0
ACCORD,SM,2017-08-11,59.75,59.75,59.75,59.75,59.75,59.75,59.75,"2,000","1,19,500.00",1,"2,000",100.0
ACCORD,SM,2017-08-14,59.75,55.3,55.7,55.3,55.7,55.5,55.5,"4,000","2,22,000.00",2,"2,000",50.0
ACCORD,SM,2017-08-16,55.5,55.1,55.6,55.1,55.6,55.6,55.35,"4,000","2,21,400.00",2,"2,000",50.0
ACCORD,SM,2017-08-17,55.6,55.65,55.65,55.6,55.6,55.6,55.63,"4,000","2,22,500.00",2,"4,000",100.0
ACCORD,SM,2017-08-18,55.6,53.0,55.0,53.0,54.75,54.75,54.23,"10,000","5,42,300.00",5,"8,000",80.0
ACCORD,SM,2017-08-21,54.75,53.05,53.05,51.05,51.05,51.05,52.37,"6,000","3,14,200.00",3,"6,000",100.0
ACCORD,SM,2017-08-22,51.05,50.0,51.0,50.0,51.0,51.0,50.33,"6,000","3,02,000.00",3,"4,000",66.67
ACCORD,SM,2017-08-23,51.0,52.0,54.95,52.0,54.95,54.95,54.2,"8,000","4,33,600.00",4,"6,000",75.0
ACCORD,SM,2017-08-28,54.95,54.8,54.8,54.8,54.8,54.8,54.8,"2,000","1,09,600.00",1,"2,000",100.0
ACCORD,SM,2017-08-31,54.8,54.8,55.0,54.2,54.2,54.2,54.67,"6,000","3,28,000.00",3,"4,000",66.67
ACCORD,SM,2017-09-01,54.2,52.5,54.0,52.5,54.0,54.0,53.0,"6,000","3,18,000.00",3,"4,000",66.67
ACCORD,SM,2017-09-04,54.0,56.95,61.5,56.05,56.05,56.05,58.49,"18,000","10,52,900.00",9,"10,000",55.56
ACCORD,SM,2017-09-05,56.05,58.4,58.5,58.4,58.5,58.5,58.45,"4,000","2,33,800.00",2,"4,000",100.0
ACCORD,SM,2017-09-06,58.5,58.95,58.95,58.95,58.95,58.95,58.95,"2,000","1,17,900.00",1,"2,000",100.0
ACCORD,SM,2017-09-11,58.95,56.3,56.3,56.2,56.2,56.2,56.25,"4,000","2,25,000.00",2,"4,000",100.0
ACCORD,SM,2017-09-12,56.2,56.0,57.5,56.0,56.5,57.0,56.63,"8,000","4,53,000.00",4,"8,000",100.0
ACCORD,SM,2017-09-15,57.0,54.2,54.2,54.2,54.2,54.2,54.2,"2,000","1,08,400.00",1,"2,000",100.0
ACCORD,SM,2017-09-19,54.2,55.0,55.0,50.05,53.3,53.3,53.72,"18,000","9,67,000.00",9,"12,000",66.67
ACCORD,SM,2017-09-20,53.3,53.25,54.0,52.0,52.0,52.8,52.89,"12,000","6,34,700.00",6,"10,000",83.33
ACCORD,SM,2017-09-21,52.8,54.0,54.0,52.1,52.1,52.1,52.7,"10,000","5,27,000.00",5,"10,000",100.0
ACCORD,SM,2017-09-22,52.1,52.0,54.0,52.0,53.0,53.0,53.18,"12,000","6,38,100.00",6,"10,000",83.33
ACCORD,SM,2017-09-25,53.0,55.95,55.95,51.75,51.75,51.75,53.23,"6,000","3,19,400.00",3,"6,000",100.0
ACCORD,SM,2017-09-27,51.75,51.5,51.5,50.3,50.3,50.3,50.9,"4,000","2,03,600.00",2,"4,000",100.0
ACCORD,SM,2017-09-28,50.3,53.0,53.0,53.0,53.0,53.0,53.0,"2,000","1,06,000.00",1,"2,000",100.0
ACCORD,SM,2017-09-29,53.0,53.0,53.0,53.0,53.0,53.0,53.0,"2,000","1,06,000.00",1,"2,000",100.0
ACCORD,SM,2017-10-04,53.0,50.0,51.0,48.45,51.0,51.0,50.17,"28,000","14,04,800.00",14,"16,000",57.14
ACCORD,SM,2017-10-05,51.0,49.35,51.5,49.35,51.0,51.0,50.62,"26,000","13,16,100.00",13,"18,000",69.23
ACCORD,SM,2017-10-09,51.0,50.0,50.0,50.0,50.0,50.0,50.0,"4,000","2,00,000.00",2,"4,000",100.0
ACCORD,SM,2017-10-10,50.0,52.0,52.0,52.0,52.0,52.0,52.0,"2,000","1,04,000.00",1,"2,000",100.0
ACCORD,SM,2017-10-11,52.0,49.25,50.0,49.05,49.05,49.05,49.33,"10,000","4,93,300.00",5,"10,000",100.0
ACCORD,SM,2017-10-12,49.05,49.25,49.5,47.8,48.0,48.1,48.56,"10,000","4,85,600.00",5,"8,000",80.0
ACCORD,SM,2017-10-13,48.1,48.3,49.0,48.3,49.0,49.0,48.65,"4,000","1,94,600.00",2,"2,000",50.0
ACCORD,SM,2017-10-16,49.0,45.25,48.5,45.25,48.5,48.5,46.42,"6,000","2,78,500.00",3,"4,000",66.67
ACCORD,SM,2017-10-17,48.5,47.0,52.85,47.0,52.85,52.85,50.49,"22,000","11,10,700.00",11,"22,000",100.0
ACCORD,SM,2017-10-23,52.85,53.0,57.65,53.0,57.65,57.65,54.89,"8,000","4,39,100.00",4,"8,000",100.0
ACCORD,SM,2017-10-24,57.65,55.1,55.1,55.0,55.0,55.0,55.05,"4,000","2,20,200.00",2,"4,000",100.0
ACCORD,SM,2017-10-26,55.0,52.0,58.0,49.65,57.0,57.0,54.82,"24,000","13,15,600.00",12,"20,000",83.33
ACCORD,SM,2017-10-27,57.0,56.05,60.0,56.05,59.0,59.25,59.11,"14,000","8,27,600.00",7,"10,000",71.43
ACCORD,SM,2017-10-30,59.25,60.5,61.0,60.0,60.0,60.0,60.63,"8,000","4,85,000.00",4,"8,000",100.0
ACCORD,SM,2017-10-31,60.0,60.4,61.0,60.4,61.0,61.0,60.62,"6,000","3,63,700.00",3,"4,000",66.67
ACCORD,SM,2017-11-01,61.0,62.0,64.25,62.0,64.25,64.25,63.13,"4,000","2,52,500.00",2,"4,000",100.0
ACCORD,SM,2017-11-06,64.25,63.0,64.0,61.25,61.25,61.25,63.2,"10,000","6,32,000.00",5,"10,000",100.0
ACCORD,SM,2017-11-07,61.25,63.85,63.85,61.05,61.5,61.65,61.96,"10,000","6,19,600.00",5,"6,000",60.0
ACCORD,SM,2017-11-09,61.65,60.0,60.0,60.0,60.0,60.0,60.0,"6,000","3,60,000.00",3,"6,000",100.0
ACCORD,SM,2017-11-13,60.0,60.95,63.9,60.1,60.1,60.1,61.04,"20,000","12,20,700.00",10,"18,000",90.0
ACCORD,SM,2017-11-14,60.1,66.45,70.0,62.0,62.0,62.0,66.11,"20,000","13,22,100.00",10,"16,000",80.0
ACCORD,SM,2017-11-15,62.0,70.0,70.0,63.0,63.0,63.0,65.74,"8,000","5,25,900.00",4,"8,000",100.0
ACCORD,SM,2017-11-16,63.0,59.1,59.1,59.0,59.0,59.0,59.05,"4,000","2,36,200.00",2,"4,000",100.0
ACCORD,SM,2017-11-17,59.0,69.0,69.0,65.4,65.4,65.4,67.8,"6,000","4,06,800.00",3,"6,000",100.0
ACCORD,SM,2017-11-20,65.4,66.8,66.8,65.0,65.0,65.0,65.9,"4,000","2,63,600.00",2,"2,000",50.0
ACCORD,SM,2017-11-21,65.0,60.5,62.95,60.5,62.95,62.95,61.41,"18,000","11,05,400.00",6,"10,000",55.56
ACCORD,SM,2017-11-22,62.95,60.5,63.95,60.5,63.95,62.45,61.82,"6,000","3,70,900.00",3,"4,000",66.67
ACCORD,SM,2017-11-24,62.45,61.5,61.5,61.0,61.0,61.0,61.25,"4,000","2,45,000.00",2,"4,000",100.0
ACCORD,SM,2017-11-28,61.0,66.0,70.0,58.5,59.5,59.5,63.5,"8,000","5,08,000.00",4,"6,000",75.0
ACCORD,SM,2017-12-05,59.5,57.5,59.8,57.0,59.8,59.8,57.89,"16,000","9,26,200.00",8,"8,000",50.0
ACCORD,SM,2017-12-13,59.8,55.05,55.05,55.0,55.0,55.0,55.03,"4,000","2,20,100.00",2,"2,000",50.0
ACCORD,SM,2017-12-14,55.0,56.0,56.0,56.0,56.0,56.0,56.0,"2,000","1,12,000.00",1,"2,000",100.0
ACCORD,SM,2017-12-21,56.0,55.25,55.5,55.1,55.1,55.3,55.28,"6,000","3,31,700.00",3,"4,000",66.67
ACCORD,SM,2017-12-22,55.3,56.0,56.0,56.0,56.0,56.0,56.0,"4,000","2,24,000.00",2,"4,000",100.0
ACCORD,SM,2017-12-26,56.0,57.0,57.4,56.0,56.5,56.5,56.83,"12,000","6,82,000.00",6,"12,000",100.0
ACCORD,SM,2017-12-27,56.5,55.0,55.0,55.0,55.0,55.0,55.0,"2,000","1,10,000.00",1,"2,000",100.0
ACCORD,SM,2017-12-29,55.0,52.5,59.8,52.5,58.1,58.1,56.97,"32,000","18,23,000.00",14,"26,000",81.25
ACCORD,SM,2018-01-01,58.1,57.0,57.0,57.0,57.0,57.0,57.0,"2,000","1,14,000.00",1,"2,000",100.00
ACCORD,SM,2018-01-02,57.0,55.1,56.0,55.1,56.0,56.0,55.55,"4,000","2,22,200.00",2,"2,000",50.00
ACCORD,SM,2018-01-03,56.0,56.0,56.0,56.0,56.0,56.0,56.0,"2,000","1,12,000.00",1,"2,000",100.00
ACCORD,SM,2018-01-05,56.0,56.8,56.8,56.8,56.8,56.8,56.8,"2,000","1,13,600.00",1,"2,000",100.00
ACCORD,SM,2018-01-08,56.8,65.8,65.8,62.0,62.0,62.0,63.9,"4,000","2,55,600.00",2,"4,000",100.00
ACCORD,SM,2018-01-09,62.0,62.0,62.0,62.0,62.0,62.0,62.0,"2,000","1,24,000.00",1,"2,000",100.00
ACCORD,SM,2018-01-10,62.0,58.2,58.2,58.2,58.2,58.2,58.2,"2,000","1,16,400.00",1,"2,000",100.00
ACCORD,SM,2018-01-11,58.2,59.0,59.0,59.0,59.0,59.0,59.0,"2,000","1,18,000.00",1,"2,000",100.00
ACCORD,SM,2018-01-17,59.0,58.0,58.0,58.0,58.0,58.0,58.0,"2,000","1,16,000.00",1,"2,000",100.00
ACCORD,SM,2018-01-18,58.0,55.1,55.1,55.1,55.1,55.1,55.1,"2,000","1,10,200.00",1,"2,000",100.00
ACCORD,SM,2018-02-05,55.1,47.5,47.5,47.5,47.5,47.5,47.5,"2,000","95,000.00",1,"2,000",100.00
ACCORD,SM,2018-02-07,47.5,52.9,52.9,52.9,52.9,52.9,52.9,"2,000","1,05,800.00",1,"2,000",100.00
ACCORD,SM,2018-02-15,52.9,47.25,48.6,46.0,47.25,47.45,47.15,"26,000","12,25,800.00",13,"14,000",53.85
ACCORD,SM,2018-02-16,47.45,46.05,46.05,45.1,46.0,46.0,45.72,"6,000","2,74,300.00",3,"4,000",66.67
