SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VMSTMT,BE,24-09-2025,99.0,104.9,105.0,99.65,99.65,99.65,102.45,"53,53,619","54,84,63,796.00","49,624",-,-
VMSTMT,BE,25-09-2025,99.65,94.66,94.7,94.66,94.66,94.66,94.66,466944,442.01,3760, -, -
VMSTMT,BE,26-09-2025,94.66,89.92,89.92,89.92,89.92,89.92,89.92,161205,144.96,2353, -, -
VMSTMT,BE,29-09-2025,89.92,85.42,85.42,85.42,85.42,85.42,85.42,87822,75.02,1623, -, -
VMSTMT,BE,30-09-2025,85.42,81.14,83.71,81.14,81.14,81.14,81.36,1535140,1248.98,7838, -, -
VMSTMT,BE,01-10-2025,81.14,77.08,83.9,77.08,83.5,82.67,78.96,1203392,950.16,7543, -, -
VMSTMT,BE,03-10-2025,82.67,82.0,82.0,79.1,80.29,79.81,80.19,497184,398.71,4008, -, -
VMSTMT,BE,06-10-2025,79.81,79.82,80.0,75.81,76.25,75.9,76.6,432301,331.14,4225, -, -
VMSTMT,BE,07-10-2025,75.9,75.11,78.7,72.1,77.8,77.19,73.89,748559,553.12,5297, -, -
VMSTMT,BE,08-10-2025,77.19,76.7,76.99,74.1,76.0,76.32,75.86,392588,297.81,2458, -, -
VMSTMT,EQ,09-10-2025,76.32,76.7,76.7,72.9,74.35,74.69,74.33,580616,431.58,4969, 284237, 48.95
VMSTMT,EQ,10-10-2025,74.69,74.32,75.99,74.32,75.31,75.28,75.17,260162,195.57,2753, 123733, 47.56
VMSTMT,EQ,13-10-2025,75.28,74.11,77.5,73.52,76.0,76.34,75.8,935157,708.8,6273, 333139, 35.62
VMSTMT,EQ,14-10-2025,76.34,76.34,78.5,75.15,75.6,75.7,76.79,697182,535.39,4859, 252062, 36.15
VMSTMT,EQ,15-10-2025,75.7,73.75,75.31,73.0,73.7,73.43,73.95,334781,247.56,3371, 180918, 54.04
VMSTMT,EQ,16-10-2025,73.43,73.79,74.94,72.5,72.79,72.84,73.75,267928,197.61,2537, 117701, 43.93
VMSTMT,EQ,17-10-2025,72.84,72.3,74.5,71.0,71.0,71.07,71.96,428703,308.48,4004, 182980, 42.68
VMSTMT,EQ,20-10-2025,71.07,72.0,72.45,69.26,70.95,71.04,70.86,502689,356.21,4792, 178447, 35.50
VMSTMT,EQ,21-10-2025,71.04,71.5,71.96,71.0,71.84,71.54,71.44,85296,60.94,791, 47235, 55.38
VMSTMT,EQ,23-10-2025,71.54,71.98,72.4,69.75,70.47,70.36,71.1,241331,171.59,2633, 110632, 45.84
VMSTMT,EQ,24-10-2025,70.36,70.31,70.89,69.5,70.32,70.19,69.98,193756,135.58,2005, 84734, 43.73
VMSTMT,EQ,27-10-2025,70.19,70.19,70.9,69.05,69.11,69.44,69.83,259487,181.2,2401, 121688, 46.90
