SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LLOYDFIN,EQ,01-01-1996,85.05,85.0,86.5,85.0,-,85.25,85.25,"1,700","1,44,920.00",-,-,-
LLOYDFIN,EQ,02-01-1996,85.25,87.0,89.0,85.0,-,85.5,86.14,"2,200","1,89,510.00",-,-,-
LLOYDFIN,EQ,03-01-1996,85.50,86.1,87.0,85.7,-,86.15,86.11,"2,900","2,49,715.00",-,-,-
LLOYDFIN,EQ,04-01-1996,86.15,86.0,86.0,85.55,-,86.0,85.89,400,"34,355.00",-,-,-
LLOYDFIN,EQ,05-01-1996,86.00,85.0,85.5,85.0,-,85.5,85.3,900,"76,770.00",-,-,-
LLOYDFIN,EQ,08-01-1996,85.50,80.55,86.5,80.55,-,85.0,84.84,900,"76,355.00",-,-,-
LLOYDFIN,EQ,09-01-1996,85.00,78.0,83.75,78.0,-,83.0,82.75,"1,100","91,025.00",-,-,-
LLOYDFIN,EQ,10-01-1996,83.00,83.0,84.0,81.9,-,83.0,82.98,400,"33,190.00",-,-,-
LLOYDFIN,EQ,11-01-1996,83.00,83.0,83.5,82.6,-,82.6,83.29,700,"58,305.00",-,-,-
LLOYDFIN,EQ,12-01-1996,82.60,82.6,83.1,83.1,-,83.1,83.1,100,"8,310.00",-,-,-
LLOYDFIN,EQ,15-01-1996,83.10,83.1,84.0,83.0,-,84.0,83.46,400,"33,385.00",-,-,-
LLOYDFIN,EQ,16-01-1996,84.00,84.0,82.5,81.5,-,82.5,82.15,"1,000","82,150.00",-,-,-
LLOYDFIN,EQ,18-01-1996,82.50,80.0,80.5,80.0,-,80.5,80.25,200,"16,050.00",-,-,-
LLOYDFIN,EQ,19-01-1996,80.50,81.55,81.55,81.55,-,81.55,81.55,800,"65,240.00",-,-,-
LLOYDFIN,EQ,22-01-1996,81.55,79.95,79.95,78.75,-,79.15,79.15,300,"23,745.00",-,-,-
LLOYDFIN,EQ,23-01-1996,79.15,76.0,77.5,74.0,-,76.0,75.71,600,"45,425.00",-,-,-
LLOYDFIN,EQ,24-01-1996,76.00,73.05,73.05,73.05,-,73.05,73.05,100,"7,305.00",-,-,-
LLOYDFIN,EQ,25-01-1996,73.05,72.75,75.0,72.15,-,74.25,73.01,"1,100","80,310.00",-,-,-
LLOYDFIN,EQ,29-01-1996,74.25,78.5,80.0,78.5,-,79.7,79.48,"1,200","95,370.00",-,-,-
LLOYDFIN,EQ,30-01-1996,79.70,81.0,85.8,81.0,-,85.8,83.44,"1,900","1,58,530.00",-,-,-
LLOYDFIN,EQ,31-01-1996,85.80,85.0,85.0,83.0,-,83.05,83.68,300,"25,105.00",-,-,-
LLOYDFIN,EQ,01-02-1996,83.05,89.8,91.0,89.8,-,90.0,90.23,900,"81,205.00",-,-,-
LLOYDFIN,EQ,02-02-1996,90.00,90.0,99.0,93.5,-,98.9,96.31,"3,200","3,08,180.00",-,-,-
LLOYDFIN,EQ,05-02-1996,98.90,98.9,105.0,100.0,-,100.0,102.34,"2,800","2,86,550.00",-,-,-
LLOYDFIN,EQ,06-02-1996,100.00,100.0,99.0,96.55,-,98.95,97.31,"1,400","1,36,240.00",-,-,-
LLOYDFIN,EQ,07-02-1996,98.95,98.95,94.0,90.0,-,90.0,91.34,"1,200","1,09,610.00",-,-,-
LLOYDFIN,EQ,08-02-1996,90.00,90.0,92.0,85.0,-,92.0,89.42,"1,300","1,16,240.00",-,-,-
LLOYDFIN,EQ,09-02-1996,92.00,92.0,101.0,99.0,-,100.95,100.84,"9,600","9,68,075.00",-,-,-
LLOYDFIN,EQ,12-02-1996,100.95,100.95,106.0,95.0,-,98.5,102.08,"4,200","4,28,715.00",-,-,-
LLOYDFIN,EQ,13-02-1996,98.50,98.0,98.0,95.05,-,96.2,96.4,"1,800","1,73,515.00",-,-,-
LLOYDFIN,EQ,14-02-1996,96.20,96.2,104.0,98.0,-,98.0,100.4,"2,300","2,30,910.00",-,-,-
LLOYDFIN,EQ,15-02-1996,98.00,98.05,103.0,95.0,-,98.95,99.48,"5,400","5,37,180.00",-,-,-
LLOYDFIN,EQ,16-02-1996,98.95,98.95,98.5,97.0,-,97.1,97.59,800,"78,070.00",-,-,-
LLOYDFIN,EQ,19-02-1996,97.10,97.1,99.0,96.0,-,99.0,97.8,"3,700","3,61,860.00",-,-,-
LLOYDFIN,EQ,20-02-1996,99.00,99.0,98.0,97.05,-,97.75,97.5,"3,800","3,70,505.00",-,-,-
LLOYDFIN,EQ,22-02-1996,97.75,97.1,98.9,96.0,-,98.05,97.77,"3,000","2,93,315.00",-,-,-
